title,description,location,work_type
Personal Trainer,"Brief Description

New York Sports Club and our family of brands is a long-standing, dynamic fitness club brand with locations in the Northeast, Florida and Switzerland. We consider ourselves your local neighborhood gym! It is our goal to provide our members with fitness results, positive change and personal connections through innovative programming and knowledgeable staff. Our mission is to “Improve Lives Through Fitness”. We work with passion and integrity, and we always treat others with appreciation and respect.

Responsibilities

The Personal Trainer focuses on providing a positive fitness experience relevant to our member's specific goals (S.M.A.R.T. goals) through scientifically based, personally tailored fitness programs. The Personal Trainer creates value in our fitness programs and member experience through one-on-one personal training, small group training and member engagement activities including, but not limited to, fitness floor member engagement, relevant fitness special events, external fitness education and outreach. The Personal Trainer drives retention through motivation, accountability, consistency and knowledge-based fitness programs where growth and results are a main focus. This applies to both the member experience and their personal training business.
Providing a legendary member experience as a NYSC club ambassador by providing service and solutions to meet the needs of the member and the business.Reviewing and adhering to all NYSC and our family of brands documents including but not limited to policies and procedures, employee handbook, state supplements, codes of conduct, etc. Properly utilizing all fitness tools provided.Maintaining client programs and fitness assessment forms; proper storing in home facility.Maintaining PT certifications and necessary continuing education credits.Being on time for all shifts.Creating smart goal action plans to meet individual goals for revenue, sales and retention.Quickly addressing any member issues, questions or concerns regarding their fitness programs, including cancel requests, suspensions and transfers and escalate issues to management appropriately.Quickly addressing any maintenance or equipment issues that are visible to members.Making sure that fitness equipment is maintained and fitness floor meets or exceeds safety and functional standards.Completing all administrative tasks including, but not limited to, scheduling PT sessions two weeks in advance, rescheduling all canceled appointments, updating availability monthly, and following session authorization policies.Proficiency in the use of our POS and membership system, timekeeping any other computer programs required to meet the business needs of the customer and NYSC and our family of brands.Partnering with Fitness Leaders, and the Operations/Sales team to meet new members and prospects, to evaluate their needs to provide fitness services at POS.Regularly partnering with Fitness Leader for direction, coaching and feedback.Successfully navigating through basic IT platforms.Hitting and exceeding all revenue, session and sales targets reflecting a consistent month over month growth.Engaging with members, clients and peers through internal and external prospecting activities.Working closely with clients, maintaining accountability by keeping in contact with clients outside of training appointments.Delivering safe and effective fitness programs followed with documented mid-program fitness assessments.Working with individual clients around their specific needs, goals and schedules to prescribe a tailored fitness program to gain the best result.Must meet and maintain monthly and quarterly production minimums for specified PT professional job role.Additional duties as assigned.
Qualifications & Experience
H.S, Diploma or GED equivalent.Bachelor’s degree helpful, but not required in Exercise Physiology, Kinesiology, Recreation or P.E. related field.Previous personal training experience not required, but if available corporate gym setting preferred.Active Child & Adult AED/CPR required.Basic computer literacy.Physical demands include ability to lift up to 45 pounds with or without reasonable accommodations, walk through all areas of clubs, climbing stairs (where applicable), repetitive squatting, bending and lifting, restacking of weights, moving of equipment as necessary and ability to demonstrate other exercise movements as part of a personal fitness workout. The company reserves the right to change them as business needs require and that jobs may require other tasks as assigned to the employee by the company. Good technical (fitness programming) skills and time management skills.Must have and maintain active NYSC and our family of brands approved Certified Personal Trainer (CPT) from one of the following:
APPROVED LIST OF PERSONAL TRAINING CERTIFICATIONS AT NYSC – REQUIRED FOR HIRE
ACE – American Council on Exercise ACSM – American College of Sports Medicine NASM – National Academy of Sports Medicine NSCA – National Strength and Conditioning AssociationAAPT – American Academy of Personal Training AAPTE – Academy of Applied Personal Training Education NPTI – National Personal Training Institute WITS – World Instructor Training SchoolsNCSF- National Council on Strength and FitnessAFAA – Aerobics and Fitness Association of AmericaISCA-International Strength and Conditioning Association ISSA – International Sports Sciences AssociationNFPT – National Federal of Professional TrainersIFPA – International Fitness Professionals AssociationNESTA – National Exercise & Sports Trainers Association NCEP - National College of Exercise ProfessionalsPro-PTAThe Cooper InstituteThe Swedish InstituteNCCPTAdditional Personal Training certifications may be accepted with approval from the Regional Fitness Director
Scheduling Requirements
Open schedule availability; including, but not limited to, early or late shifts and weekends.Each work week may be comprised of the following: Training sessions, Lead Generation, Business Management (administrative duties, meetings, call drives, maintaining fitness floor cleanliness), Fitness Orientations (upon assigned by Fitness Leader or self scheduled).","New York, NY",FULL_TIME
Personal Trainer,"Brief Description

New York Sports Club and our family of brands is a long-standing, dynamic fitness club brand with locations in the Northeast, Florida and Switzerland. We consider ourselves your local neighborhood gym! It is our goal to provide our members with fitness results, positive change and personal connections through innovative programming and knowledgeable staff. Our mission is to “Improve Lives Through Fitness”. We work with passion and integrity, and we always treat others with appreciation and respect.

Responsibilities

The Personal Trainer focuses on providing a positive fitness experience relevant to our member's specific goals (S.M.A.R.T. goals) through scientifically based, personally tailored fitness programs. The Personal Trainer creates value in our fitness programs and member experience through one-on-one personal training, small group training and member engagement activities including, but not limited to, fitness floor member engagement, relevant fitness special events, external fitness education and outreach. The Personal Trainer drives retention through motivation, accountability, consistency and knowledge-based fitness programs where growth and results are a main focus. This applies to both the member experience and their personal training business.
Providing a legendary member experience as a NYSC club ambassador by providing service and solutions to meet the needs of the member and the business.Reviewing and adhering to all NYSC and our family of brands documents including but not limited to policies and procedures, employee handbook, state supplements, codes of conduct, etc. Properly utilizing all fitness tools provided.Maintaining client programs and fitness assessment forms; proper storing in home facility.Maintaining PT certifications and necessary continuing education credits.Being on time for all shifts.Creating smart goal action plans to meet individual goals for revenue, sales and retention.Quickly addressing any member issues, questions or concerns regarding their fitness programs, including cancel requests, suspensions and transfers and escalate issues to management appropriately.Quickly addressing any maintenance or equipment issues that are visible to members.Making sure that fitness equipment is maintained and fitness floor meets or exceeds safety and functional standards.Completing all administrative tasks including, but not limited to, scheduling PT sessions two weeks in advance, rescheduling all canceled appointments, updating availability monthly, and following session authorization policies.Proficiency in the use of our POS and membership system, timekeeping any other computer programs required to meet the business needs of the customer and NYSC and our family of brands.Partnering with Fitness Leaders, and the Operations/Sales team to meet new members and prospects, to evaluate their needs to provide fitness services at POS.Regularly partnering with Fitness Leader for direction, coaching and feedback.Successfully navigating through basic IT platforms.Hitting and exceeding all revenue, session and sales targets reflecting a consistent month over month growth.Engaging with members, clients and peers through internal and external prospecting activities.Working closely with clients, maintaining accountability by keeping in contact with clients outside of training appointments.Delivering safe and effective fitness programs followed with documented mid-program fitness assessments.Working with individual clients around their specific needs, goals and schedules to prescribe a tailored fitness program to gain the best result.Must meet and maintain monthly and quarterly production minimums for specified PT professional job role.Additional duties as assigned.
Qualifications & Experience
H.S, Diploma or GED equivalent.Bachelor’s degree helpful, but not required in Exercise Physiology, Kinesiology, Recreation or P.E. related field.Previous personal training experience not required, but if available corporate gym setting preferred.Active Child & Adult AED/CPR required.Basic computer literacy.Physical demands include ability to lift up to 45 pounds with or without reasonable accommodations, walk through all areas of clubs, climbing stairs (where applicable), repetitive squatting, bending and lifting, restacking of weights, moving of equipment as necessary and ability to demonstrate other exercise movements as part of a personal fitness workout. The company reserves the right to change them as business needs require and that jobs may require other tasks as assigned to the employee by the company. Good technical (fitness programming) skills and time management skills.Must have and maintain active NYSC and our family of brands approved Certified Personal Trainer (CPT) from one of the following:
APPROVED LIST OF PERSONAL TRAINING CERTIFICATIONS AT NYSC – REQUIRED FOR HIRE
ACE – American Council on Exercise ACSM – American College of Sports Medicine NASM – National Academy of Sports Medicine NSCA – National Strength and Conditioning AssociationAAPT – American Academy of Personal Training AAPTE – Academy of Applied Personal Training Education NPTI – National Personal Training Institute WITS – World Instructor Training SchoolsNCSF- National Council on Strength and FitnessAFAA – Aerobics and Fitness Association of AmericaISCA-International Strength and Conditioning Association ISSA – International Sports Sciences AssociationNFPT – National Federal of Professional TrainersIFPA – International Fitness Professionals AssociationNESTA – National Exercise & Sports Trainers Association NCEP - National College of Exercise ProfessionalsPro-PTAThe Cooper InstituteThe Swedish InstituteNCCPTAdditional Personal Training certifications may be accepted with approval from the Regional Fitness Director
Scheduling Requirements
Open schedule availability; including, but not limited to, early or late shifts and weekends.Each work week may be comprised of the following: Training sessions, Lead Generation, Business Management (administrative duties, meetings, call drives, maintaining fitness floor cleanliness), Fitness Orientations (upon assigned by Fitness Leader or self scheduled).","New York, NY",FULL_TIME
Welder,"Metal Workx & Designs, Inc. is a full-service pharmaceutical maintenance contractor providing fabrication, pipe fitting, orbital welding, cleaning/passivation, and stainless steel polishing to meet food and pharmaceutical standards.We are currently seeking a welder position in Rocky Mount, NC. This is a full time position 7am-5:30pm. Ideal Candidates Should HaveMinimum of 5 years of working knowledge of:cutting/shearing metalwelding aluminum, stainless and carbonmust know how to stick, TIG, and MIG weld Physical Requirements Include, But Are Not Limited ToThe ability to routinely lift in-excess of 50 pound on a continual basisBe able to work long periods of time including evenings and weekends when necessary. Essential Requirements & SkillsExcellent communication skills and commitment to safety.Ability to follow directionsValid Driver LicenseClean Driving RecordClean Background Check Competitive Benefits PackageHealth/Dental insuranceLife InsuranceShort Term Disability InsurancePaid Time Off: Vacation and Holiday401(k)And More! Working conditions may be indoor or outdoor. Schedule may include overtime, overnight, and weekend work.  Applications may be filled out at our facility located at 196 Kamlar Rd. Rocky Mount, NC 27804 or send resumes to brmetalworkxdesignsinc@gmail.com. 
",Rocky Mount-Wilson Area,FULL_TIME
Maintenance Technician (2:00pm - 10:30pm)," Job Summary The Maintenance Technician responsibilities include performing regular inspections of machinery and equipment, carrying out regularly scheduled preventative maintenance, and fulfilling other duties such as building maintenance as assigned. To be a successful preventative maintenance technician you should have a practical mind, mechanical aptitude, and strong attention to detail. Ultimately, a top-notch maintenance mechanic should be able to ensure that machinery and equipment are in excellent operating condition.
 Duties & Responsibilities  Perform diagnostic tests and root cause analysis to figure out problems with machinery or equipment.Disassemble the machinery or equipment when there is a problem then repair or replace any broken or malfunctioning parts.Test the machine or run an initial batch to make sure that the machine is running properly.Assisting in the installation of new manufacturing equipment.Adjust and calibrate equipment or machinery as per specifications.Routine inspection and testing of equipment and machinery – this needs to be planned to ensure minimal disruption of processes.Test malfunctioning machinery to determine whether major repairs are needed.Preventative maintenance tasks to try to minimize unexpected issues with equipment.Responding to alerts and carrying out corrective procedures and repairs in line with SOPs and maintenance protocols.Keep all documentation of both routine checks and repairs up-to-date and in line with both internal and external procedures.Maintains logs of any downtime within the manufacturing system.Performing general maintenance work on buildings as assigned.Maintaining a clean and organized work area.  Qualifications  High school diploma/GED.4+ years of experience as a maintenance technician or in a similar role.Trade or vocational school graduation a plus.Knowledge of CNC equipment is a plus.Knowledge and ability to operate hand and power tools.Knowledge of PLC’sKnowledge of computer base systemsMechanical, and electrical aptitude and ability.Ability to use a voltage multi meterAbility to use calipers, and micrometerAble to do basic machining on a mill and lathe a plus Must be able to work unsupervisedPhysical dexterityGood troubleshooting skillsKnowledge of health and safety regulations
 Physical Requirements Must be able to sit and stand for long periods of timeMust be able to occasionally climb, balance, stoop, kneel, crouch, and/or crawlMust be able to work more than 40 hours in a week and weekends when requiredMust be able to lift up to 50 pounds
","Westmont, IL",FULL_TIME
Independent Contractor,"This position requires very little actually hands on work. As a matter of fact we don't want you to go too deep besides providing referrals, acquaintances, possibly ex employers. One of our Account Executives will take care of the rest.

All you have to do is just keep doing whatever it is you do best, this position is certainly something that can change your life, if you bring enough referrals that are closed for a client. Or, simply pay for your Streaming services every month lol! 

After we come to an agreement, depending on the company youd be referring leads too. All You Would have to do is go through a dinner with myself and My partners. Then if you send business our way, you deserve your piece. And everyone who joins the family. Gets their piece.",Detroit Metropolitan Area,OTHER
Optometrist,"Optometrist Opening in Milwaukee, WI - Full-Time and Part-Time Available - 
High-Tech private practice in a Fun neighborhood! New graduates are welcome to apply! Flexible schedule!
About the PracticeEyes on the Lake is a private practice in a growing area with an emphasis on creating a culture where patients and team members feel they are part of a family. We proudly serve the patients of Milwaukee, Wisconsin, and are located in the trendy and artsy Bay View neighborhood. We are searching for an OD to join our team. Our goal is to provide a unique individualized experience focused on patient care and customer satisfaction.
About the PositionWe pride ourselves in being a one-stop shop for all things eyes. From basic refractions to ocular emergencies; ocular disease, specialty contact lens fittings, and Optilight/dry eye disease treatments, we have the technology that allows you to practice full-scope eye care. 
Optometrist Job Duties & ResponsibilitiesThe ideal OD candidate is personable, friendly, and team-oriented. Your regular duties will include:Perform comprehensive eye exams. Routine exams are scheduled in 30-minute intervals. Techs will do AR, OCT, Topo, Optos, Meibography, and Icare tonometry.Diagnose and assist in the treatment of ocular diseasePrescribe corrective lensesProvide pre- and post-operative care to surgical patientsPromote healthy vision by counseling and educating patientsMaintain detailed patient records regarding diagnosis, treatment plans, and progressHandle eye care emergenciesHave fun while doing the job you love!
Optometrist Job Requirements & QualificationsDoctor of Optometry (O.D.) degreeValid WI state license to practice optometryAbility to communicate with a wide range of patient personalitiesExcellent verbal and written communication skillsA strong sense of workplace professionalism and personal ethicsCustomer-service orientation with excellent interpersonal skillsSpanish speaking is a plus! 
CompensationWe reward our doctors well, offer a flexible schedule, and provide a competitive salary. Benefits include: AflacAOA and WAO duesEight paid holidaysPTO$1000.00 yearly toward CE and CE-related expensesQuarterly Bonus Structure Vision and material benefits","Milwaukee, WI",PART_TIME
(CDL) Commercial Truck Driver- Immediate Hire,"Temporary Hire: Position needed for an estimated 1-monthEvening Shift: 7 pm - 7 am 
SummaryDrive a 2000 lb water truck a short distance to pick up water from a neighboring property and bring the truck back to our construction site.
ResponsibilitiesHave a valid commercial driver's license.Adhere to all applicable laws and regulations while driving.Maintain the truck in a clean and orderly condition.Maintain accurate logs of hours worked and miles driven.Perform pre-trip and post-trip inspections of the truck.Load and unload cargo safely and efficiently. 
QualificationsCDL Commercial Driver's License
Contact Elise Chandler directly at (512) 761 5058","Elgin, TX",TEMPORARY
Nursing Manager,"Job Summary:  The Nurse Manager will lead a growing team of experienced and professional RN’s. This position includes hiring, onboarding, and managing new nurses in an expanding non-traditional industry. Dynamic Drips brings personalized hydration and wellness to our clients through mobile IV Vitamin Infusion Therapy. The Nurse Manager will have a unique opportunity to add value in a broad range of developments for our nurses and for the company as a whole. This position directly contributes to the success of the brand in many ways! The position of Nurse Manager requires up to 25% local travel, and 5% travel to markets in order to expand Dynamic Drips, and comes with the ability to work from a number of locations including home. This is an exciting, purpose driven role. Unlike traditional nursing management, this position is responsible for driving key business metrics. The Dynamic Drips. Nurse Manager will be leading a culture of positivity and support in aspects of both nursing and business. 
Key Roles and Responsibilities:Help build strategy and execute plans for building lasting client relationships. Promote system-wide uniformity and high standards of Dynamic Drips services, operations, and procedures.Rollout of initiatives, improved measures and best practices.Hiring and onboarding of new nurses.Day to day nurse scheduling, management, and support.Communicating with clients, scheduling and backfilling appointments.Nurse education; new and continuing.Weekly chart audits.Customer experience and ratingsInventory/Supply managementHR support including payroll.Tracking of key metrics; Nurse growth, retention, experience, revenue, avg. ticket, and quality control.
Job Qualifications:Bachelor’s degree or above in Nursing.8+ years in nursing, with 2+ years proven excellence in operations or nurse management.Computer competency including ability to learn charting system effortlessly.Strategic thinking, with the ability to learn and grasp a new and exciting space in health and wellness.Excellent teaching, presenting, writing and communication skills.Ability to perform well under pressure, and in a variety of settings. Strong critical thinking and prioritization skills. Experience with business analysis preferred.Project management skills with ability to manage multiple tasks and deadlines in a fast-paced environment.Superb attention to detail and ability to deliver results in any given situation. Flexible, adaptable and able to work and thrive in ambiguity.MS Office proficiency, including PowerPoint, Excel, and Word. A people first leader who understands the importance of building a highly positive and supportive, performance culture.
In addition to these core competencies, the Nurse Manager will commit to displaying the following: 
Effective Communication: Part of being an effective leader is listening to concerns and communicating needs. Nurse managers must be able to build a solid rapport with all RNs as well as other staff members within Dynamic Drips. Advocacy: In some cases, nurse leaders may have to advocate for RNs to ensure a safe and reasonable environment. In other cases, they might have to advocate for patient safety or preference. The Nurse manager should not be afraid of using their voice.Participation: With so many administrative demands, it is important that nurse managers also keep a role in client care. Nurse managers must have superior clinical skills as well. Mentoring: Successful nurse leaders do not micromanage their staff. They encourage, empower, mentor, and find strengths. They boost creativity and mindfulness.Maturity: The Nurse Manager will think fairly and calmly in all situations. They don’t let simmering emotions boil over. Instead, they meet conflict and work through it.Professionalism: The Nurse Manager will follow their moral compass to ensure all aspects of the profession are met with honesty and integrity. They address people with respect and do not bully or use their position for power.Supportive — Nurse managers set the bar for expectations to be high. They use supportive encouragement to challenge employees to succeed. They coach and mentor and guide.
","St Paul, MN",FULL_TIME
Senior Electrical Engineer,"Sr. Electrical Engineer System Integrator – EV Marine Propulsion
This position is responsible for the strategy and implementation of software specific to high voltage EV marine propulsion systems, auxiliary power distribution, HV safety system, user interface, and overall development of the vehicle supervisory control system. The System Integrator is expected to move at an aggressive pace within the development teams agile framework– keeping track of program milestones, deliverables and pulling together the contributions into a cohesive final product. The Integration Engineer is also expected to get their hands dirty in the details of their sub-systems – digging through source code, root causing issues and proposing solutions to complex problems, as well as testing prototype firmware implementations.The ideal candidate has experience designing and analyzing control systems, a demonstrated track record of proactive communication and development team leadership, a demonstrated ability to innovate and possesses practical knowledge of electrical, mechatronic and software design.ResponsibilitiesLead software development for the Forza X1 product familyProvide technical leadership to the engineering development teamPromote and champion software engineering best practicesInterface with multiple stakeholders to gather appropriate requirements for feature updates· Work in the design, selection, analysis, system integration, and testing of marine EV systems, sensors, actuators, controllers, pneumatic and hydraulic systems, and electromechanical systems, including conceptual design, detailed design, testing, validation, and product implementation.Ensure the relevant subsystems are designed with appropriate requirements, interfaces, and interactions to achieve specific functionality.Work with manufacturing to ensure the function(s) are rolled out and functioning properly. This can include development of processes, diagnostic tools and methods, and root-cause diagnosis for product issues.Collaborate and validate the functions, interfaces, and interactions of the system. Identify areas of concern. Extensive knowledge in API / Database design and development best practicesReview code as a part of source control, code reviews, and security checksCommunicate effectively with peers and key non-technical stakeholders· Work with all appropriate hardware and software protocols, vendors, and systems to understand, troubleshoot, and control program control systems. The systems may include, but may not be limited to: C, C++, Reach, CANBUS, J1939, proprietary motor control and battery management systems, Garmin, Garmin One-helm, HTML5, Javascript, NMEA 2000 and others.
RequirementsBSc, MSc or PhD in a relevant engineering disciplineEstablished background in EV development, EV Charging or Power Electronic Systems in the automotive or comparable industry, with a combination of theoretical and practical engineering experienceDemonstrated knowledge of foundational engineering topics (e.g., mechanics, physics, metallurgy, manufacturing methods, electronics, software, control systems) within job-related areaExperience in automotive diagnostics development is strongly preferredProven success in driving service and field requirements in a complex, design-focused environmentStrong analytical and structured problem-solving capabilities and a knack for tackling problems that are unusual and complexMinimum of 5 years working on development of complex electro-mechanical integration projects. Exceptional ability to keep multiple projects moving forwards in parallel.Hands-on technical experience debugging complex systems involving networked microprocessors and software-controlled electrical or electromechanical devices.Proven ability to use programming to solve challenging problems and increase own/team’s efficiency through automation.Experience with C++ or Python are preferred.Ability to fluently interpret system data to gain a full understanding of logged events.Thorough understanding of mechanics fundamentals - and ability to apply them to automotive concepts.Understanding of low voltage and high voltage circuits and how to debug them.Experience with CAN and Vector CAN tools is a plus.Experience with Failure Mode and Effects Analysis (FMEA) and Hazard Analysis and Risk Assessment (HARA) is a plus.Knowledgeable in NMEA 2000 and J1939 protocolsUI/UX Design experience including Figma, Sketch, Adobe XDPassion for boating and watersportsBe part of something amazing!Come work alongside some innovative minds and move the marine industry forward. Beyond providing competitive salaries, we’re providing a community for innovators who want to make an immediate and significant impact. If you are driven to create a better, more sustainable future, then this is the right place for you.At Forza X1 , we don’t just welcome diversity - we celebrate it! Forza X1 is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, national or ethnic origin, age, religion, disability, sexual orientation, gender, marital status, and any other characteristic protected under applicable State or Federal laws and regulations.Job Types: Full-time, Contract, InternshipSalary: commensurate with experience and abilityBenefits:Employee discountFlexible scheduleHealth insurancePaid time offRelocation assistanceEducation:Bachelor's in associated field of engineering to meet requirements (Preferred)
Experience:Computer Software, Mechanical or Electrical Engineering: 5-10 years (Preferred)
Full Time Opportunity:Yes
Work Location:Remote, then relocation to future factory in the Marion, NC area.
This Job Is Ideal for Someone Who Is:Dependable -- more reliable than spontaneousAdaptable/flexible -- enjoys doing work that requires frequent shifts in directionDetail-oriented -- would rather focus on the details of work than the bigger pictureAchievement-oriented -- enjoys taking on challenges, even if they might failAutonomous/Independent -- enjoys working with little directionInnovative -- prefers working in unconventional ways or on tasks that require creativityCompany's website:www.forzax1.com
Work Remotely:Yes, for approximately 18 months, then permanent relocation 
COVID-19 Precaution(s):Remote interview processPersonal protective equipment provided or requiredSocial distancing guidelines in placeVirtual meetingsSanitizing, disinfecting, or cleaning procedures in place
","Old Fort, NC",FULL_TIME
Front Desk Receptionist,"Looking to hire experienced Front Desk person to compliment our staff of two. Must have 1-2 years working in similar position in a medical office.
Job requires greeting patients, answering phone calls, some understanding of how medical insurance works, handling co-pays, and appointment scheduling.
Seeking someone who is kind, straightforward, enjoys helping people, and is a good multitasker.Knowledge of ADHD and mental health medications is a plus.","Murray, UT",FULL_TIME
Sales & Customer Support Specialist,"For over forty years, The BoxMaker has been a proud custom box manufacturer and packaging distributor to businesses in Washington, Oregon, Idaho and beyond. We continuously invest in our people, processes, and equipment to remain at the forefront of digital print production for corrugated boxes, retail displays, and labels. We are independently owned and headquartered in Kent, WA. We have multiple branches in the pacific Northwest and in Arkansas.We value Coworker experience, and, at the BoxMaker, it is measured by our guiding principles of Service, Respect and Excellence. We are in search of a Sales & Customer Support Specialist. This job is an in-person position that provides both administrative and practical support to our Sales and Corporate teams. Our ideal candidate will be happy in this dynamic role with responsibilities that shift from day-to-day; they should be service, and sales minded, demonstrate a willingness to jump into new challenges, excellent time management and top-notch organization skills. Clear communication is essential in this position so the right person for the job will be a confident communicator with the ability to work with coworkers and clients at all levels and handle confidential matters with discretion. This position reports to the Director of Trade Business, who reports to the President.As a key member of team, you are the front face of the company while also handling incoming calls and order processing work with our Trade Business Team.
Role and Responsibilities:Compose and edit emails, documents, presentations, reports, letters and company communications.Order entry for incoming sales orders, repeat and new.Respond to all customer contacts in a positive and courteous manner via live chat and e-mail, carrying the voice of the company through all interactions. Coordinate and maintain Leadership calendars, including staff meetings, events and book conference room.Prepare, coordinate and communicate company’s social and business functions.Coordinate and order supplies for Office, Jan/San, Breakroom, Maintenance and Sales ToolsMaintain & support sales tools such as; Phone directory, HubSpot, New Client Letters, Reports and general sales/admin processes.Facilitate conference calls, online meetings, virtual events, webinars and tours.Arrange and communicate travel and accommodations for leadership team.Handle sensitive information with the upmost confidentiality.Be the liaison between the customer, business development, production and shipping teams.Support the efforts of Sales with sales collateral, mailing campaigns and daily business functions relating to sales and service to our clients (external & internal)Manage reception desk and monitor phone calls as first point of contact. Act as the liaison between visitors and staffMaintain common areas both for functionality and presentation, associated with Clients and Sales; Front Entrance, Experience Center.Using standard processes, send potential orders to design, estimating, graphics and all departments needed complete the request of Sales Representatives and/or Clients.Works with multiple software to get the necessary answers for the Sales Representative and Client either by using an existing report working with IT to develop a new report or by investigating using software such as AMTECH.Provide troubleshooting assistance for Clients orders, account status and any relevant problems.Work as a facilitator with cross functional teams ensuring projects are shipped on time and within specifications to our clients.Recognize and develop Continuous Process improvement projects within our department. Supports Sales staff as their internal liaison to production and provides documentation and information as requested in a timely manner.Works cross functionally with all departments to find answers for our clients and sales representatives.· Gaining a deep understanding of customer experience, identifying, and filling product gaps and generating new ideas that grow market share, improving customer experience and driving growth.· Managing My Print Valet software solution ensuring it successfully meets business and user’s needs.· Translating business goals into specific software requirements.· Developing product pricing and positioning strategies with Sales and Marketing Leadership.· Adhere to safety compliance in accordance with EHS (Environmental Health & Safety) policy.
Education and Experience Requirements 2-3 years’ experience in C-Suite, Sales or Customer Service SupportWorking knowledge of Adobe Illustrator, Adobe Photoshop, Shopify, Hubspot and online project management programsAbility and desire to gain proficiency with Software Systems, New Technologies and Changing ResponsibilitiesExecutive Level Communications- excellent grammar, spelling and overall composition skills.Attention to detail, meticulous organizational skills and ability to prioritize projects that may have same timelines multiple managers, or missing information with excellent customer service skills.Experienced using social media (Facebook, Twitter, Linked In, Instagram and YouTube).Outgoing, positive and upbeat personality – you genuinely like people!Ability to work under pressure while providing problem solving skills.Proficiency with Microsoft Office, Word, Excel, Power Point, Adobe, Tableau.The successful candidate will receive a competitive compensation package, in addition to:Medical/dental/vision insuranceFlexible spending account401(k) with company matchEmployee assistance programJob Type: Full-timePay Rate: $ 19-22.00 per hour.Benefits:401(k)401(k) matchingDental insuranceFlexible spending accountHealth insuranceHealth savings accountPaid time offVision insurance","Arkansas, United States",FULL_TIME
Licensed Mental Health Counselor,"Mental Health Counselor Job SummaryI'm looking for a highly motivated, team player with excellent organizational skills and willingness to be open to innovative ideas and concepts, commitment to meeting clients' needs, and outstanding organization and time management skills. I am a growing private practice and will be transitioning to a hybrid setup in the next couple of months.Requirements: Fully Licensed Mental Health Counselors
Mental Health Counselor Duties and ResponsibilitiesDiagnose clients using DSM VDevelop a treatment plan to address specific mental disordersMeet with clients on a regularly, you maintain your own schedulingTrack client progress and adjust treatment as neededHelp clients find the appropriate adjunct services outside of counselingTimely documentation of therapy notesWork with children/teens/adult populations
Mental Health Counselor Requirements and QualificationsMaster's degree in counseling or related fieldTreatment planning experienceAbility to give and take feedbackHighly motivated and willing to work hard to achieve successExperience with individual, group, family, and/or couples therapyStrong communication and listening skillsExperience working with trauma
**Serious inquiries only, please. If you are not actively seeking a new opportunity, please do not contact us or respond. We are looking for hard-working and committed therapists to join our outstanding private practice. If you are currently an intern or still in grad school, please do not respond. I am not yet set up to take on interns. **
Requiring minimum 2 years of experience working independently post licensure or if provisionally licensed, will soon be sitting for NCMHCE.If working remotely right now and planning to transition to in person set up, let's have a conversation!Prefer therapist with experience and training doing trauma and/or grief/loss, attachment work. Would love to find couples therapists, family therapists, and therapists with experience working with children and families.
Looking for both full-time and/or part time transition to full-time positions. Evening availability welcome. Office location likely to be in Castleton.
Job Types: Full-time, Part-time, Contract
Benefits:Employee discountFlexible scheduleProfessional development assistance, training with opportunity to complete annual CEU requirementFrequent case consultations and supervision (both on individual and group)Schedule:10 hour shift4 hour shift8 hour shiftDay shiftMonday to FridayWeekend availability (Saturday until 12p)Education:Master's (Required)Experience:therapy: 2 years (Required)License/Certification:LMHC license (Required) or LMHCAShift availability:Day Shift (Preferred)Work Location: In person","Indianapolis, IN",FULL_TIME
